id,year,majortopic,subtopic 
1638,1989,1,107
1639,1989,0,0
1640,1989,15,1505
1641,1989,1,107
1642,1989,20,2001
1643,1989,20,2001
1644,1989,3,322
1645,1989,3,325
1646,1989,2,202
1647,1989,13,1308
1648,1989,15,1500
1649,1989,15,1505
1650,1989,1,107
1651,1989,10,1007
1652,1989,10,1007
1653,1989,7,705
1654,1989,20,2004
1655,1989,7,711
1656,1989,13,1300
1657,1989,5,503
1658,1989,19,1929
1659,1989,15,1505
1660,1989,1,107
1661,1989,13,1308
1662,1989,20,2001
1663,1989,12,1210
1664,1989,0,0
1665,1989,0,0
1666,1989,0,0
1667,1989,0,0
1668,1989,0,0
1669,1989,0,0
1670,1989,0,0
1671,1989,0,0
1672,1989,0,0
1673,1989,0,0
1674,1989,0,0
1675,1989,0,0
1676,1989,0,0
1677,1989,0,0
1678,1989,0,0
1679,1988,13,1305
1680,1989,7,711
1681,1989,7,705
1682,1989,19,1929
1683,1989,8,803
1684,1989,12,1204
1685,1989,14,1406
1686,1989,3,300
1687,1989,19,1929
1688,1989,15,1521
1689,1989,5,502
1690,1989,7,705
1691,1989,20,2001
1692,1989,23,2300
1693,1989,6,602
1694,1989,1,105
1695,1989,15,1521
1696,1989,16,1699
1697,1989,6,600
1698,1989,1,107
1699,1989,12,1201
1700,1989,5,505
1701,1989,9,900
1702,1989,20,2001
1703,1989,0,0
1704,1989,0,0
1705,1989,13,1303
1706,1989,15,1523
1707,1989,12,1210
1708,1989,5,506
1709,1989,5,503
1710,1989,1,107
1711,1989,14,1406
1712,1989,1,107
1713,1989,19,1999
1714,1989,6,601
1715,1989,15,1502
1716,1989,14,1401
1717,1989,0,0
1718,1989,10,1007
1719,1989,12,1201
1720,1989,1,107
1721,1989,5,502
1722,1989,15,1599
1723,1989,6,602
1724,1989,4,405
1725,1989,0,0
1726,1989,6,601
1727,1989,15,1505
1728,1989,20,2001
1729,1989,16,1699
1730,1989,0,0
1731,1989,7,700
1732,1989,7,700
1733,1989,2,208
1734,1989,17,1798
1735,1989,16,1699
1736,1989,6,699
1737,1989,15,1520
1738,1989,13,1304
1739,1989,7,711
1740,1989,6,604
1741,1989,2,208
1742,1989,1,107
1743,1989,6,601
1744,1989,15,1502
1745,1989,3,342
1746,1989,17,1709
1747,1989,1,107
1748,1989,5,502
1749,1989,5,505
1750,1989,3,399
1751,1989,2,208
1752,1989,20,2012
1753,1989,1,107
1754,1989,5,502
1755,1989,16,1619
1756,1989,15,1500
1757,1989,6,601
1758,1989,7,700
1759,1989,20,2001
1760,1989,6,699
1761,1989,1,107
1762,1989,12,1210
1763,1989,10,1007
1764,1989,5,503
1765,1989,20,2001
1766,1989,20,2001
1767,1989,21,2104
1768,1989,16,1608
